RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,winner,CTScore,TScore
78,37,0,26900,24400,4,5,4,5,4,5,3,0,0,0,0,1,0,1,0,0,4,6
78,37,0,30750,23400,4,3,4,3,4,3,3,0,0,0,0,1,0,1,0,1,16,13
79,19,1,24300,23600,3,2,3,2,3,2,3,0,0,2,0,0,0,2,0,0,0,5
79,36,0,26900,24400,4,4,4,4,4,4,3,0,0,0,0,1,0,1,0,0,4,6
79,36,0,2200,21850,4,4,0,4,0,4,0,0,1,0,0,0,0,0,2,0,8,12
80,40,1,26500,24200,3,3,3,3,3,3,1,2,0,0,0,1,1,2,1,0,0,4
80,35,0,25150,4150,5,3,5,0,5,0,4,0,0,0,0,0,0,0,0,1,4,5
80,40,1,2200,21850,3,4,0,4,0,4,0,0,1,0,0,0,0,0,2,0,8,12
80,35,0,30750,22400,4,2,4,2,4,2,3,0,0,0,0,1,0,1,0,1,16,13
81,17,1,24300,23600,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,5
81,34,0,28600,23400,3,3,3,3,3,3,2,2,1,0,1,1,0,1,1,1,7,6
82,33,0,25150,4150,5,2,5,0,5,0,4,0,0,0,0,0,0,0,0,1,4,5
82,33,0,29650,22800,5,4,5,4,5,4,4,1,0,0,0,0,0,2,0,0,8,11
82,38,1,2200,21850,3,4,0,4,0,4,0,0,1,0,0,0,0,0,2,0,8,12
82,40,1,30250,23950,3,2,3,2,3,2,3,0,0,1,0,1,0,2,1,1,9,6
82,33,0,27400,21300,3,4,3,4,3,4,2,0,2,1,2,0,0,2,1,1,13,12
83,18,1,4650,4550,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
83,40,1,10700,21100,3,3,0,3,0,3,0,1,0,0,0,0,0,0,1,0,0,3
83,39,1,30250,23950,3,2,3,2,3,2,3,0,0,1,0,1,0,1,1,1,9,6
84,14,1,23800,23600,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,5
84,31,0,27400,20800,3,1,3,1,3,1,2,0,0,1,1,0,0,2,0,1,13,12
85,30,0,26600,24400,3,4,3,4,3,4,2,0,0,0,0,2,0,1,0,0,4,6
85,15,1,29500,20450,2,4,2,3,2,4,2,1,0,1,1,0,0,2,0,0,15,13
86,29,0,26600,24400,3,2,3,2,3,2,2,0,0,0,0,2,0,1,0,0,4,6
86,37,1,30250,23950,2,1,2,1,2,1,2,0,0,1,0,1,0,1,1,1,9,6
88,27,0,25150,4150,5,1,5,0,5,0,4,0,0,0,0,0,0,0,0,1,4,5
88,32,1,2200,21850,2,4,0,4,0,4,0,0,1,0,0,0,0,0,2,0,8,12
89,26,0,19600,1800,5,5,5,0,5,0,1,0,0,0,0,1,0,2,0,1,8,9
89,40,1,30750,22400,3,2,3,2,3,2,2,0,0,0,0,0,0,1,0,1,16,13
90,25,0,19600,1800,5,4,5,0,5,0,1,0,0,0,0,1,0,2,0,1,8,9
90,10,1,29500,20450,2,3,2,2,2,3,2,1,0,0,0,0,0,0,0,0,15,13
90,39,1,30750,22400,3,2,3,2,3,2,2,0,0,0,0,0,0,1,0,1,16,13
91,24,0,26600,24400,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,4,6
91,24,0,19600,1800,5,2,5,0,5,0,1,0,0,0,0,1,0,2,0,1,8,9
91,9,1,29500,20450,1,3,1,2,1,3,1,1,0,0,0,0,0,0,0,0,15,13
92,23,0,19600,1800,5,1,5,0,5,0,1,0,0,0,0,1,0,2,0,1,8,9
94,21,0,26600,23200,1,2,1,2,1,2,0,0,0,0,0,0,0,1,0,0,4,6
94,40,1,29650,22800,4,4,4,4,4,4,3,1,0,0,0,0,0,2,0,0,8,11
96,19,0,26150,22600,5,5,4,5,5,5,3,0,0,0,0,2,1,3,0,1,5,6
97,18,0,22300,23900,2,1,0,1,2,1,0,1,0,1,0,1,0,0,0,1,9,12
99,30,1,30750,22400,3,1,3,1,3,1,2,0,0,0,0,0,0,1,0,1,16,13
100,16,1,11200,17700,1,3,0,3,1,3,0,1,1,0,0,0,0,0,1,0,0,2
100,15,0,28600,23400,3,2,3,2,3,2,2,2,1,1,1,1,0,1,1,1,7,6
101,14,0,30950,10500,5,1,5,1,5,1,5,0,0,0,0,0,0,2,0,1,8,6
102,13,0,22200,17800,4,5,4,5,4,5,3,0,0,0,0,0,0,0,0,0,8,10
103,12,0,26150,21500,5,4,4,4,5,4,3,0,0,0,0,1,1,3,0,1,5,6
104,17,1,2200,21850,1,4,0,4,0,4,0,0,1,0,0,0,0,0,2,0,8,12
104,11,0,27800,21200,4,4,4,4,4,4,2,1,0,0,0,0,0,0,0,1,12,12
105,10,0,26150,21500,5,2,4,2,5,2,3,0,0,0,0,1,1,3,0,1,5,6
105,10,0,30050,12000,4,1,4,1,4,1,4,0,0,0,0,0,0,2,0,1,8,6
105,10,0,22200,17800,4,3,4,3,4,3,3,0,0,0,0,0,0,0,0,0,8,10
105,10,0,27800,21200,4,3,4,3,4,3,2,1,0,0,0,0,0,0,0,1,12,12
106,9,0,22200,17800,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,8,10
107,8,1,11200,17700,1,2,0,2,1,2,0,0,2,0,0,0,0,0,1,0,0,2
107,8,0,27800,21200,4,2,4,2,4,2,2,1,0,0,0,0,0,0,0,1,12,12
108,7,0,26150,21500,4,2,3,2,4,2,3,0,0,0,0,1,0,2,0,1,5,6
108,7,0,27800,21200,3,2,3,2,3,2,1,1,0,0,0,0,0,0,0,1,12,12
109,12,1,26500,24200,3,3,3,3,3,3,1,1,0,0,0,1,0,0,0,0,0,4
109,6,0,28600,23400,3,1,3,1,3,1,2,2,0,1,0,1,0,1,1,1,7,6
111,10,1,26500,24200,2,3,2,3,2,3,1,0,0,0,0,1,0,0,0,0,0,4
111,4,0,25650,21500,4,1,3,1,4,1,3,0,0,0,0,1,0,2,0,1,5,6
111,40,1,22200,17800,2,3,2,3,2,3,2,0,0,0,0,0,0,0,0,0,8,10
112,8,1,26500,24200,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,4
112,3,0,28600,23400,2,1,2,1,2,1,2,1,0,1,0,1,0,1,1,1,7,6
113,40,1,27800,21200,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,1,12,12
119,15,1,29650,22800,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,8,11
120,1,1,26500,24200,2,1,2,1,2,1,1,0,0,0,0,1,0,0,0,0,0,4
120,14,1,29650,22800,4,3,4,3,4,3,3,0,0,0,0,0,0,0,0,0,8,11
121,-1,1,26500,24200,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5
121,13,1,29650,22800,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,8,11
124,-1,1,9500,21100,3,3,0,3,0,3,0,1,0,0,0,0,0,0,1,0,0,4
124,10,1,29650,22800,2,3,2,3,2,3,1,0,0,0,0,0,0,0,0,0,8,11
125,28,1,26800,21200,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,12,12
126,27,1,26800,21200,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,12,12
127,7,1,29650,22800,1,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,8,11
130,4,1,29650,22800,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,8,11
135,-1,1,29650,22800,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,12
140,12,1,21000,17800,2,3,2,3,2,3,2,0,0,0,0,0,0,1,0,0,8,10
